index	sequence_index	section	thai	phonetic	register	definition	note	custom-note
2011	11	101	เรื่องกล้วยๆ	rʉ̂ang glûai-glûai		(It’s a) piece of cake! / It’s very simple!		
2012	12	101	ใกล้เสร็จหรือยัง	glâi sèt rʉ̌ʉ-yang		Are (you) almost finished?		
2013	13	101	(หมด)ทั้งหัวใจ	(mòt) táng hǔa-jai		With all my heart.		
2014	14	101	…ทุกครั้งที่เห็น	... ...túk-kráng tîi hěn...		…every time (I) see… / …whenever (I) see…		
2015	15	101	จะรู้ได้ยังไงว่า	... jà rúu dâi yang-ngai wâa...		How will we know…? / How do I know…?		
2016	16	101	ไม่ว่าคุณเป็นใคร	... mâi-wâa kun bpen krai...		No matter who you are…		
2017	17	101	สเปคเลย	sà-bpèk ləəi		She’s just my type! / He’s exactly my type!	สเปค (sà-bpèk) is also spelled as สเป็ค (sà-bpék).	
2018	18	101	ค่าเช่าเดือนละเท่าไหร่	kâa-châo dʉan-lá tâo-rài		How much is the rent (per month)?		
2019	19	101	เอาอะไรอีกไหม	ao à-rai ìik mǎi	INFORMAL	Do you want anything else? / Anything else?		
2020	20	101	งานยุ่งมาก	ngaan yûng mâak		(I)’m really busy with work. / (I)’ve been swamped at work. / (I’ve) been really busy.		
2021	1	102	ไร้สาระสิ้นดี	rái-sǎa-rá sîn-dii		(That’s) totally ridiculous!		
2022	2	102	ไม่รู้อะไรเลยหรือ	mâi-rúu à-rai ləəi rʉ̌ʉ	STRONG	Don’t you know anything?!		
2023	3	102	ห้ามไม่ได้	hâam mâi-dâi		You can’t stop me. / I can’t stop you.		
2024	4	102	นอนหลับยาก	nɔɔn-làp yâak (		I) have a hard time falling asleep. / I’m a light sleeper.		
2025	5	102	เขามีความรู้มาก	kǎo mii kwaam-rúu mâak	SEMI-FORMAL	He’s very knowledgable.		
2026	6	102	ไม่เสียตังค์สักบาท	mâi sǐa dtang sàk bàat		It didn’t cost a baht! / It didn’t cost a thing!		
2027	7	102	อะไรทำให้คุณคิดแบบนั้น	à-rai tam-hâi kun kít bɛ̀ɛp-nán		What makes you think that?		
2028	8	102	เข้ามาทำอะไรใน(ห้องผม)	kâo maa tam à-rai nai (hɔ̂ng pǒm)		What are you doing in (my room)?!		
2029	9	102	แค่แวบเดียว	kɛ̂ɛ wɛ̂ɛp diao		Just a glimpse/flash.		
2030	10	102	อย่ากังวลเรื่อง... มากเกินไป	yàa gang-won rʉ̂ang... mâak-gəən-bpai		Don’t worry too/so much about…		
2031	11	102	ฝากไปบอก(เขา)ว่า	... fàak bpai bɔ̀ɔk (kǎo) wâa...		Tell (him/her) that...		
2032	12	102	ออกไปรอข้างนอก	ɔ̀ɔk-bpai rɔɔ kâang-nɔ̂ɔk (		Go) wait outside.		
2033	13	102	ปล่อยวางเถอะ	bplɔ̀i-waang tə̀		Let it go.		
2034	14	102	ฉันเคยผิดหวังในความรัก	chǎn kəəi pìt-wǎng nai kwaam-rák	SEMI-LITERARY	I’ve been disappointed in love (before).		
2035	15	102	สาบานกับตัวเอง(ไว้)ว่า	... sǎa-baan gàp dtua-eeng (wái) wâa...		(I) promised myself (that)… / (I) swore to myself (that)...		
2036	16	102	ฉันสงสัยมานานแล้ว(ว่า... )	chǎn sǒng-sǎi maa naan lɛ́ɛo (wâa...)		I’ve always wondered (…) / I’ve long suspected(…)		
2037	17	102	ไม่เข้าใจตรงไหน	mâi-kâo-jai dtrong-nǎi		What part don’t you understand?		
2038	18	102	อีกนานไหมกว่า(จะถึง)	ìik naan mǎi gwàa (jà tʉ̌ng)		How much longer (till we get there)? / Will it be much longer (till we get there)?		
2039	19	102	เกรงใจกันบ้าง	greeng-jai gan bâang		Be considerate (of others).		
2040	20	102	(จะ)อะไรกันหนักหนา	(jà) à-rai gan nàk-nǎa	IDIOMATIC	What’s the big deal?! / What the heck?!		
2041	1	103	โคตรเลว	kôot leeo (	INFORMAL/ROUGH	He)’s really bad/vile/terrible!		
2042	2	103	(ก็)ไม่เห็นแปลก	(gɔ̂ɔ) mâi hěn bplɛ̀ɛk		That’s not surprising. / I’m not surprised. / I don’t think it’s so strange.		
2043	3	103	มันช่างทรมาน(เหลือเกิน)	man châng tɔɔ-rá-maan (lʉ̌a-gəən)		It’s (complete) torture! / It’s excruciating!		
2044	4	103	ฉันว่าน่าจะดีกว่า	chǎn wâa nâa-jà dii-gwàa		I think it would be better. / I think it’s better.		
2045	5	103	ทำไมรู้เรื่อง... เยอะจัง	tam-mai rúu-rʉ̂ang... yə́ jang		How do you know so much about… ?		
2046	6	103	ถ้าไม่ลำบาก	tâa mâi lam-bàak		If it’s not too much trouble. / It’s it’s not an imposition.		
2047	7	103	มันมีความหมายสำหรับผมมาก	man mii-kwaam-mǎai sǎm-ràp pǒm mâak		It means a lot to me.		
2048	8	103	…มีอาชีพเป็น(ทนาย)	...mii aa-chîip bpen (tá-naai)	FORMAL	…is an (attorney). / …works as an (attorney).		
2049	9	103	(เขา)ได้ย้ายไปยัง	... (kǎo) dâi yáai bpai yang...		(He) moved to...		
2050	10	103	ยังไม่รู้ตัวอีกเหรอ	yang mâi-rúu-dtua ìik rə̌ə	STRONG	Don’t you get it?! / Don’t you realize…?!		
2051	11	103	เสียเงินไปตั้งเยอะ	sǐa ngən bpai dtâng yə́		(I) spent a fortune! / (I) spent a lot of money!		
2052	12	103	เดี๋ยว(ผม)ไปหยิบมาให้	dǐao (pǒm) bpai yìp maa hâi		I’ll go get it for you. / I’ll grab it for you.		
2053	13	103	เธอมีใจให้แก	təə mii jai hâi gɛ̀ɛ		She has feelings for you. / She likes you.		
2054	14	103	กลับมาเดี๋ยวนี้	glàp maa dǐao-níi		Get back here! / Come back (here)!		
2055	15	103	เรียกร้องความสนใจ	rîak-rɔ́ɔng kwaam-sǒn-jai try to get attention / trying to get attention				
2056	16	103	ไม่อยากให้มันเกิดขึ้น	mâi-yàak hâi man gə̀ət-kʉ̂n (		I) don’t want it to happen.		
2057	17	103	ถ้าเกิดว่า	... tâa gə̀ət wâa...		What if… ? / If… ? / What happens if… ?		
2058	18	103	ไม่อยากให้เป็นแบบนั้น	mâi-yàak hâi bpen bɛ̀ɛp-nán		(I) wouldn’t want that. / (I) wouldn’t want it to be that way. / (I) wouldn’t want that to happen.		
2059	19	103	(ฉัน)ลองทำทุกอย่างแล้ว	(chǎn) lɔɔng tam túk-yàang lɛ́ɛo		I tried everything.		
2060	20	103	จะยากอะไร	jà yâak à-rai	INFORMAL	How hard can it be?! / Was that so hard?!		
2061	1	104	(มึง)นี่โง่จริงๆ	(mʉng) nîi ngôo jing-jing (	STRONG	You)’re such an idiot! / (You)’re so stupid!		
2062	2	104	เล่าต่อ	lâo dtɔ̀ɔ		Tell me more. / Keep going.		
2063	3	104	(คุณ)ตาฝาด	(kun) dtaa-fàat		You’re seeing things! / You’re delusional! / You’re mistaken. (your eyes are playing tricks on you)		
2064	4	104	…อีกหลายอย่าง	...ìik lǎai yàang		…(and) many more types/kinds/things.		
2065	5	104	…แม้แต่นิดเดียว	...mɛ́ɛ-dtɛ̀ɛ nít-diao		…not even a little bit. / …not in the least bit.		
2066	6	104	…หรือไม่ก็	... ...rʉ̌ʉ mâi gɔ̂ɔ...		…or… (if not this way, then that way)		
2067	7	104	คงไม่ได้หรอก	kong mâi-dâi rɔ̀ɔk		I can’t. / I’d rather not. / I don’t think I can. (giving semi-polite refusal usually followed by a reason)		
2068	8	104	ในเสี้ยววินาที	nai sîao wí-naa-tii		In a split second / In a fraction of a second		
2069	9	104	ซวยจริงๆ(เลย)	suai jing-jing (ləəi)	INFORMAL/ROUGH	So unlucky! / It really sucks! / Shit out of luck!		
2070	10	104	คน(เรา)มีรสนิยมที่(แตก)ต่างกัน	kon (rao) mii rót-sà-ní-yom tîi (dtɛ̀ɛk) dtàang gan		We all have different tastes. / Everyone has different tastes.		
2071	11	104	สบายใจได้	sà-baai-jai dâi		(You) can relax. (don’t worry about it) / Set your mind at ease.		
2072	12	104	(มัน)เป็นระเบียบเรียบร้อย	(man) bpen rá-bìap rîap-rɔ́ɔi (		It)’s neat and orderly. / (It)’s neat and organized. / (It)’s nice and tidy.		
2073	13	104	(ฟิน)ที่สุดในสามโลก	(fiin) tîi-sùt nai sǎam-lôok	INFORMAL/PLAYFUL	The most (awesome) in the world! (used for exaggeration)		
2074	14	104	ดีเสียอีก/ดีซะอีก	dii sǐa-iìk / dii sá-ìik (		That’s) even better!		
2075	15	104	(เขา)ได้ฉายาว่า	...  (kǎo) dâi chǎa-yaa wâa...	FORMAL/LITERARY	(He) earned the nickname… / (She) was called…		
2076	16	104	ได้อุทิศชีวิตของเขาให้กับ	... dâi ù-tít chii-wít kɔ̌ɔng kǎo hâi gàp...		He dedicated/devoted his life to…		
2077	17	104	หมดทุกอย่าง	mòt túk-yàang		Everything (used for emphasis)		
2078	18	104	เป็นผู้เชี่ยวชาญด้าน	... bpen pûu-chîao-chaan dâan...		(She)’s an expert/master at...		
2079	19	104	ดูก็รู้(ว่า... )	duu gɔ̂ɔ rúu (wâa...)		One look and you know (…) / It’s obvious (he)’s…		
2080	20	104	มันไม่ต่างอะไรจาก	... man mâi dtàang à-rai jàak...		It’s no different from/than…		
2081	1	105	อย่าหัวเราะ	yàa hǔa-rɔ́		Don’t laugh!		
2082	2	105	(มัน)แย่มาก	(man) yɛ̂ɛ mâak		It’s terrible/horrible/awful.		
2083	3	105	หนูไม่ชอบตื่นเช้า	nǔu mâi-chɔ̂ɔp dtʉ̀ʉn cháao		I don’t like getting up early. / I’m not a morning person.	หนู (nǔu) is used by here by a female to address someone older.	
2084	4	105	เรื่องอะไร	rʉ̂ang à-rai		About what? / What story? (are you talking about)		
2085	5	105	(... )ทำให้ผมมีความสุข(... ) (...)	tam-hâi pǒm mii-kwaam-sùk (...)		It makes me happy. / You make me happy.		
2086	6	105	กินด้วยกันสิ	gin dûai-gan sì		Have some. / Join me. (eating together)		
2087	7	105	เขานิสัยไม่ดี	kǎo ní-sǎi mâi-dii		He’s bad! / He’s a bad boy! / He’s ill-natured. / He’s rude.		
2088	8	105	ช้าหน่อย	cháa nɔ̀i		Slow down!		
2089	9	105	ฉันจะมาใหม่	chǎn jà maa mài		I’ll be back. / I’ll come back.		
2090	10	105	อยากไป	yàak bpai		(I) wanna go.		
2091	11	105	หลับแล้วเหรอ	làp lɛ́ɛo rə̌ə		Are you asleep (already)?		
2092	12	105	ออกกำลังกายอยู่	ɔ̀ɔk-gam-lang-gaai yùu		I’m exercising. / I’m working out.		
2093	13	105	(ลอง)คิดดู	(lɔɔng) kít duu		Think about it.		
2094	14	105	คุณมีฉัน	kun mii chǎn		You have me. / You got me.		
2095	15	105	ผมอธิบายได้	pǒm à-tí-baai dâi		I can explain.		
2096	16	105	บอกฉันได้นะ	bɔ̀ɔk chǎn dâi ná		(You) can tell me.		
2097	17	105	ฉันเจ็บนะ	chǎn jèp ná		You’re hurting me! / That hurts!		
2098	18	105	คุณมาจากไหน	kun maa-jàak nǎi		Where are you from?		
2099	19	105	คุณมาจากประเทศอะไร	kun maa-jàak bprà-têet à-rai		What country are you from?		
2100	20	105	(อยาก)ดื่มอะไรไหม	(yàak) dʉ̀ʉm à-rai mǎi		Do you want something to drink?		
2101	1	106	ผมไม่ได้เป็นอะไรกับเขา	pǒm mâi-dâi bpen à-rai gàp kǎo		There’s nothing between us. / She doesn’t mean anything to me.		
2102	2	106	ไม่รบกวนเวลาคุณ	mâi róp-guan wee-laa kun		I won’t take up your time/waste your time.		
2103	3	106	หาเท่าไหร่ก็หาไม่เจอ	hǎa tâo-rài gɔ̂ɔ hǎa-mâi-jəə		(I) couldn’t find it anywhere. / (I) looked everywhere but couldn’t find it.		
2104	4	106	นั้นแสดงว่า	... nán sà-dɛɛng wâa...		That shows that… / That means that…		
2105	5	106	ต้องทำยังไงถึงจะ	... dtɔ̂ng tam yang-ngai tʉ̌ng jà...		What do I need/have to do to…?		
2106	6	106	มีแต่คุณคนเดียวที่	... mii kɛ̂ɛ kun kon-diao tîi...		You’re the only one/person who…		
2107	7	106	คุณกำลังจะทำอะไร	kun gam-lang jà tam à-rai		What are you gonna do? / What are you doing? (with future meaning)		
2108	8	106	จะได้เห็นดีกัน	jà dâi hěn dii gan	SLANG/IDIOMATIC	You’re gonna get it! / I’ll get you!		
2109	9	106	ทำไมถึงคิดแบบนั้น	tam-mai tʉ̌ng kít bɛ̀ɛp-nán		What makes you say that? / Why do you think that?		
2110	10	106	โตๆกันแล้ว	dtoo-dtoo gan lɛ́ɛo		You’re an adult now. / You’re all grown up. / We’re adults (now).		
2111	11	106	หายไปอยู่ไหน	hǎai bpai yùu-nǎi	BIT STRONG	Where (the hell) have you been? / Where has it all gone to? / Where has it disappeared to?		
2112	12	106	ถ้าเกิดว่า	... tâa gə̀ət wâa...		What if… ? / If… ?		
2113	13	106	จะไปไหนก็ไป	jà bpai nǎi gɔ̂ɔ bpai	SLANG/STRONG	Beat it. / Get out of here! / Just leave! (I’m tired of you and don’t want to see you anymore)		
2114	14	106	มีความเป็นไปได้สูงที่... /ว่า	... mii kwaam-bpen-bpai-dâi sǔung tîi.../wâa..		There’s a strong possibility that… / There’s a good chance that… / It’s highly probable that…		
2115	15	106	ผมไม่ได้พูดสักคำ	pǒm mâi-dâi pûuk sàk kam		I didn’t say a word. / I didn’t say a thing.		
2116	16	106	แค่ทำตามหน้าที่เท่านั้น	kɛ̂ɛ tam-dtaam nâa-tîi tâo-nán (	FORMAL	I)’m just doing my job/duty.		
2117	17	106	ผมไม่เอาด้วยแล้ว	pǒm mâi-ao dûai lɛ́ɛo		I’ve had enough! / I’m out! / Enough of this!		
2118	18	106	ฉันชินกับการอยู่คนเดียว	chǎn chin gàp gaan-yùu-kon-diao		I’m used to living/being alone.		
2119	19	106	อะไร(ที่)ทำให้คุณคิดว่า	... à-rai (tîi) tam-hâi kun kít wâa...		What makes you think that…		
2120	20	106	ไม่ใช่เรื่องเล็ก	mâi-châi rʉ̂ang lék		It’s no trivial matter. / It’s no small thing. / It’s not to be taken lightly.		
2121	1	107	ต้องขอโทษด้วย(นะคะ)	dtɔ̂ng kɔ̌ɔ-tôot dûai (ná-ká)		I must apologize. / I’m sorry.		
2122	2	107	ต้องขอโทษด้วย(นะคะ)พอดี(ติดงาน)	dtɔ̂ng kɔ̌ɔ-tôot dûai (ná-ká) pɔɔ-dii (dtìt-ngaan)		I must apologize. (I was busy with work.) / I’m sorry. (I was busy with work.)	พอดี (pɔɔ-dii) is often used when giving a reason or excuse.	
2123	3	107	ถามจริงๆเถอะ	...  tǎam jing-jing tə̀...	STRONG	Be honest… / Tell me the truth… (used when asking a question and want honesty.)		
2124	4	107	เปิดไม่ติด	bpə̀ət-mâi-dtìt		It won’t turn on. / It doesn’t work. / It’s not working.		
2125	5	107	อยากให้เป็นแบบนั้น	yàak hâi bpen bɛ̀ɛp-nán (		I) wish it were true. / (I) want it to be that way. / I’d like that.		
2126	6	107	เขาไม่มั่นใจในตัวเอง	kao mâi mân-jai nai dtua eeng		He lacks confidence. / She insecure.		
2127	7	107	ไม่มีตำหนิเลย	mâi mii dtam-nì ləəi		(It)’s flawless. / (It) has no marks on it. / (It)’s in perfect condition. / (It)’s without blemish.		
2128	8	107	ผมพูดอะไรผิดไปหรือเปล่า	pǒm pûut à-rai pìt bpai rʉ̌ʉ-bplàao		Did I say something wrong?		
2129	9	107	นี่มันเรื่องอะไร	nîi man rʉ̂ang à-rai		What’s this about…? / What’s going on (here)?		
2130	10	107	(มือ)ไปโดนอะไรมา	(mʉʉ) bpai doon à-rai maa		What happened to your (hand)? (looking at injury)		
2131	11	107	ผมพูดอะไรออกไป	pǒm pûut à-rai ɔ̀ɔk bpai		What did I say?! / What was I saying?!		
2132	12	107	ฉันหิวจะแย่แล้ว	chǎn hǐu jà yɛ̂ɛ lɛ́ɛo	INFORMAL	I’m starved! / I’m starving! / I’m sooo hungry!		
2133	13	107	เราค่อยกลับมาคุยกัน	rao kɔ̂i glàp maa kui gan		We can talk about it later. / We can talk about it again later.		
2134	14	107	กฎข้อที่ (1)	… gòt kɔ̂ɔ tîi (nʉ̀ng)...		Rule Number (1)…		
2135	15	107	ผมขอเตือนนะ	... pǒm kɔ̌ɔ dtʉan ná...		I’m warning you… / Let this be a warning…		
2136	16	107	จะว่าไปแล้ว	... jà wâa bpai lɛ́ɛo...		In fact… / As a matter of fact… / I can tell you this…		
2137	17	107	ฝากบอกด้วยว่า	... fàak bɔ̀ɔk dûai wâa...		Please tell her/him…		
2138	18	107	ทำอะไรให้ไม่พอใจหรือเปล่า	tam à-rai hâi mâi-pɔɔ-jai rʉ̌ʉ-bplàao		Did I do something to upset you?		
2139	19	107	ไม่อยากเสียคุณไป	mâi-yàak sǐa kun bpai		I don’t want to lose you.		
2140	20	107	คุณเป็นใครกันแน่	kun bpen krai gan nɛ̂ɛ	STRONG	Who the hell are you? / Who are you really?		
2141	1	108	อย่าร้องไห้	yàa rɔ́ɔng-hâi		Don’t cry.		
2142	2	108	ยังไม่มี	yang mâi-mii		Not yet. / I don’t have one yet. / I don’t have any yet.		
2143	3	108	ไม่ต้องรอ(ฉัน)	mâi-dtɔ̂ng rɔɔ (chǎn)		You don’t need to wait (for me). / No need to wait up (for me).		
2144	4	108	นี่มัน(ห้อง)ผม	nîi man (hɔ̂ng) pǒm	STRONG	This is MY (room)!		
2145	5	108	อยากกินอีก	yàak gin ìik		I wanna have that again. / I want to eat it again.		
2146	6	108	จะเอาเท่าไร	jà ao tâo-rai		How much do you want?		
2147	7	108	ไม่มีเวลา(แล้ว)	mâi-mii wee-laa (lɛ́ɛo) (		We) have no more time. / There’s no more time.		
2148	8	108	วาง(ลง)	waang (long)		Put it down. / Lay it down.		
2149	9	108	ลืมซื้อมา	lʉʉm sʉ́ʉ maa		(I) forgot to buy it.		
2150	10	108	อย่าลืมซื้อ	... yàa lʉʉm sʉ́ʉ…		Don’t forget to buy…		
2151	11	108	ครับ(พ่อ) / ค่ะ(พ่อ)	kráp (pɔ̂ɔ) / kà (pɔ̂ɔ)		Yes, (Dad). (acknowledging, agreeing, etc.)		
2152	12	108	ยังไม่รู้	yang mâi-rúu		I don’t know yet. / I still don’t know.		
2153	13	108	แค่ครั้งเดียว	kɛ̂ɛ kráng-diao		Only once. / Only one time.		
2154	14	108	หลับหรือยัง	làp rʉ̌ʉ yang		Are you asleep (yet)?		
2155	15	108	ได้นอนแค่ (3) ชั่วโมง	dâi nɔɔn kɛ̂ɛ (sǎam) chûa-moong		I only slept (3) hours. / I only got (3) hours of sleep.		
2156	16	108	ฉันคุยกับแม่แล้ว	chǎn kui gàp (mɛ̂ɛ) lɛ́ɛo		I spoke with (mom) already. / I already spoke with (my mother).		
2157	17	108	ไม่รู้เมื่อไร	mâi-rúu mʉ̂a-rai		(I) don’t know when.		
2158	18	108	ตรงไป(ข้างหน้า)	dtrong-bpai (kâang-nâa)		Go straight (ahead).		
2159	19	108	รถผมเสีย	rót pǒm sǐa		My car broke down.		
2160	20	108	เขานิสัยดี	kǎo ní-sǎi-dii		He’s nice. / He’s a nice guy. / He’s polite and well-mannered.		
2161	1	109	สะใจเลย	sà-jai ləəi		(I) feel so (damn) satisfied! / (I) enjoyed that! / That was satisfying!		
2162	2	109	ประสาท	bprà-sàat	SLANG/ROUGH	Crazy guy! / Idiot! / You’re wacko!		
2163	3	109	ไม่เลยสักนิด	mâi ləəi sàk-nít		Not in the least bit. / Not at all. / Not a bit.		
2164	4	109	ฉันคิดถึงแต่เรื่อง(กิน)	chǎn kít-tʉ̌ng dtɛ̀ɛ rʉ̂ang (gin)		All I think about is (eating/food). / I think about (eating/food) all the time. //My mind is filled with thoughts of (eating/food).		
2165	5	109	ไม่ทราบว่าใครโทรมาครับ	mâi-sâap wâa krai too-maa kráp	FORMAL	Who’s calling please?		
2166	6	109	ไม่ทราบว่าเป็นใคร	mâi-sâap wâa bpen krai	FORMAL	I don’t know who it is/was.		
2167	7	109	ตั้งแต่(ผม)เกิดมา	... dtâng-dtɛ̀ɛ (pǒm) gə̀ət maa…		Since I was born… / For the first time in my life… / This is the first time I…		
2168	8	109	ดูท่าแล้ว	... duu tâa lɛ́ɛo...		It looks like… / It seems like… / Apparently…		
2169	9	109	…จะได้ประหยัดเงิน	...jà dâi bprà-yàt ngən		…so (you) can save money. / …(you) will save money (economize)		
2170	10	109	เขาเล่นตัวอยู่	kǎo lên-dtua yùu		She’s playing hard to get.		
2171	11	109	(…)ก่อนจะสายเกินไป (...)	gɔ̀ɔn jà sǎai gəən-bpai (…)before it		’s too late.		
2172	12	109	จัดไป	jàt bpai	INFORMAL	Bring it on! / Hell yeah! (Let’s do it!)		
2173	13	109	(มือ)เย็นเฉียบ(เลย)	(mʉʉ) yen chìap (ləəi) (		Your hands) are as cold as ice/freezing cold/ice cold.		
2174	14	109	จำทางไม่ได้	jam taang mâi-dâi		(I)’ve lost my way. / (I) can’t remember the way.		
2175	15	109	ทำให้อยู่ท้อง	tam-hâi yùu-tɔ́ɔng		(It) fills you up. / (It)’s filling.		
2176	16	109	ฉันทำอะไรลงไป	chǎn tam à-rai long bpai	DRAMATIC	What did I do?! (assumes something bad was done)		
2177	17	109	อาการแย่มาก	aa-gaan yɛ̂ɛ mâak		(He)’s in really bad shape. / (He)’s hurt really bad. (of an accident or sickness)		
2178	18	109	เธอสติไม่ดี	təə sà-dtì mâi-dii		She’s not all there. / She’s nuts. / She’s crazy.		
2179	19	109	เลิกพูดกันได้แล้ว	lə̂ək pûut gan dâi lɛ́ɛo		Stop talking about it/that!		
2180	20	109	ติดต่อไม่ได้เลย	dtìt-dtɔ̀ɔ mâi-dâi ləəi (		I) can’t get through to her. / (I)’ve been unable to contact her.		
2181	1	110	ผมเอาใจช่วยนะ	pǒm ao-jai-chûai ná		I hope you are successful. / I wish you success.		
2182	2	110	มีอะไรไม่สบายใจหรือเปล่า	mii à-rai mâi sà-baai-jai rʉ̌ʉ-bplàao		Is something wrong? / Is something bothering you?		
2183	3	110	จะกลับตอนไหน	jà glàp dtɔɔn-nǎi		When will (you) be back? / What time will (you) be back?		
2184	4	110	ไม่กล้าทำ	mâi glâa tam		I didn’t dare. / You wouldn’t dare!		
2185	5	110	มาหาใคร(ครับ)	maa-hǎa krai (kráp)		Who are you here to see? / Who are you here for? / Who are you looking for?		
2186	6	110	แกโกหกฉัน	gɛɛ goo-hòk chǎn		You’re lying (to me).		
2187	7	110	เสียงดังเกินไป(แล้ว)	sǐang-dang gəən-bpai (lɛ́ɛo)		You’re being too loud. / It was too loud. / She’s too noisy!		
2188	8	110	อาการดีขึ้น(แล้ว)	aa-gaan dii-kʉ̂n (lɛ́ɛo) (		He)’s feeling better. (His) condition has improved. / (He)’s getting better.		
2189	9	110	กินอะไรหรือยัง	gin à-rai rʉ̌ʉ-yang		Have you eaten (anything) yet? / Did you eat yet?		
2190	10	110	เขาไม่ได้สติ	kǎo mâi-dâi sà-dtì		He’s unconscious.		
2191	11	110	แย่แล้ว	yɛ̂ɛ lɛ́ɛo		Oh, shit! / Oh, no!		
2192	12	110	ใครเป็นคนขโมย(ไป)	krai bpen kon kà-mooi (bpai)		Who stole it?		
2193	13	110	ต้องเข้มแข็ง	dtɔ̂ng kêm-kɛ̌ng		Be strong! / Stay strong! (emotionally)		
2194	14	110	ผมไม่รู้จักใครเลย	pǒm mâi-rúu-jàk krai ləəi		I don’t know anyone (here).		
2195	15	110	ยังปวดหัวอยู่หรือเปล่า	yang bpùat-hǔa yùu rʉ̌ʉ-bplàao		Do you still have a headache?		
2196	16	110	ฉันไม่ไว้ใจใคร	chǎn mâi-wái-jai krai		I don’t trust anyone.		
2197	17	110	ผมไม่มีทางเลือก	pǒm mâi-mii-taang lʉ̂ak		I have no choice. / I had no choice.		
2198	18	110	อย่าทำให้(ผม)ผิดหวัง	yàa tam-hâi (pǒm) pìt-wǎng		Don’t disappoint me. / Don’t let me down.		
2199	19	110	อย่ายุ่ง	yàa yûng	STRONG	Don’t interfere! / Leave me alone! / Don’t mess with (me)!		
2200	20	110	เดี๋ยวก็หาย	dǐao gɔ̂ɔ hǎai		It’ll be better soon. / It’ll heal soon. / It’ll soon pass.		
2201	1	111	ของฝากเล็กๆน้อยๆ	kɔ̌ɔng-fàak lék-lék nɔ́ɔi-nɔ́ɔi		Here’s a small souvenir. / I have a little something I bought for you.		
2202	2	111	ไม่ได้เข้าข้างใคร	mâi-dâi kâo-kâang krai		I’m not siding with anyone. / I’m not taking anyone’s side.		
2203	3	111	คิดดีทำดี	kít dii tam dii		Think good, do good.	This is an expression from Buddhism meaning if you have good intentions and do good, you wil have good karma.	
2204	4	111	ขอให้เป็นอย่างนั้น	kɔ̌ɔ-hâi bpen yàang-nán	SEMI-FORMAL/LITERARY	So be it. / I hope so. / I hope it turns out that way.		
2205	5	111	เป็นคนละเอียดรอบคอบ	bpen kon lá-ìat rɔ̂ɔp-kɔ̂ɔp		He’s meticulous/very thorough/very careful.		
2206	6	111	เหมือนตกนรกทั้งเป็น	mʉ̌an dtòk-ná-rók táng-bpen		It’s like hell on earth! / It’s like going to hell alive!		
2207	7	111	(จะ)สบายไปทั้งชาติ	(jà) sà-baai bpai táng-châat		He’d live comfortably for the rest of his life. / He would have it easy his whole life. (not necessary to work due to having excess money, etc.)		
2208	8	111	ทำจิตใจให้สงบ	tam jìt-jai hâi sà-ngòp		Calm your mind.		
2209	9	111	ยังนับว่าโชคดี	yang náp-wâa chôok-dii		Consider yourself lucky! / You were lucky! / Still, you were fortunate. (that nothing worse happened to you, etc.)		
2210	10	111	พบเห็นได้ทั่วไป	póp-hěn dâi tûa-bpai		(It)’s found all over. / (It)’s commonly seen. / (It)’s a common sight.		
2211	11	111	โชคเข้าข้าง(เราแล้ว)	chôok kâo-kâang (rao lɛ́ɛo)	LITERARY	Luck is on our side. / This is our lucky break.		
2212	12	111	ฉันไม่เรียกร้องอะไร	chǎn mâi rîak-rɔ́ɔng à-rai	SEMI-FORMAL	I don’t ask for anything. / I’m not demanding anything.		
2213	13	111	ใครจะว่ายังไงก็ช่างเขา	krai jà wâa yang-ngai gɔ̂ɔ châng kǎo	INFORMAL	They can say whatever they want! / I don’t care what anyone says!		
2214	14	111	สมกันดี(นะ)	sǒm-gan dii (ná)		Good match! / How suitable! / (You two) are perfect for each other! //They’re a good fit.		
2215	15	111	ฉันแค่พูดตามความเป็นจริง	chǎn kɛ̂ɛ pûut dtaam kwaam-bpen-jing		I’m just telling the truth. / I’m just being honest.		
2216	16	111	…ว่าไหม	...wâa mǎi		… ,huh? / … ,don’t you think? / … ,isn’t it? / … ,don’t they? etc./(This functions similar to a tag question.)		
2217	17	111	เงินเดือนไม่พอใช้	ngən-dʉan mâi-pɔɔ chái		(My) salary isn’t enough (to live on).		
2218	18	111	ดูซึมๆ	duu sʉm-sʉm		(She) looks down/depressed/mopey.		
2219	19	111	มองไม่วางตาเลย	mɔɔng mâi waang dtaa ləəi (		He) kept staring at her. / (He) couldn’t take his eyes off her.		
2220	20	111	ขายดิบขายดี	kǎai-dìp-kǎai-dii (	IDIOMATIC	They’re) selling like hotcakes! / (They’re) selling really well!		
2221	1	112	มีแต่ได้กับได้	mii dtɛ̀ɛ dâi gàp dâi		It’s a win-win (situation).		
2222	2	112	คิดเอาเองสิ	kít ao eeng sì		Figure it out! / Think about it yourself.		
2223	3	112	ต่างกับฉัน	dtàang gàp chǎn		Different from me. / Not the same as me. / Unlike me.		
2224	4	112	ไม่อยากเห็นหน้าคุณอีก	mâi-yàak hěn nâa kun ìik	VERY STRONG	I don’t wanna see you anymore!		
2225	5	112	ผมพูดมาตลอด(... )	pǒm pûut maa dtà-lɔ̀ɔt(...)		I’ve always said… / I’ve been saying (that) all along.		
