description,term
never to attach any conditions,不附带任何条件
New Deal,新政
New Left,新左派
New Right,新右派
new views of security; new security idea,新安全观
newly industrializing country,新兴工业化国家
news conference,新闻发布会
nihilism A philosophy that holds that the total destruction of all existing social and political institutions is a desirable end in itself.,虛無主義Xūwú zhǔyì
"no-confidence vote In parliamentary governments, a legislative vote that the sitting government must win to remain in power.",投不信任票Tóu bù xìnrèn piào
"nomenklatura The former Soviet Communist Party's system of controlling all important administrative appointments, thereby ensuring the support and loyalty of those who managed day-to-day affairs.",權貴階層Quánguì jiēcéng
non-aligned countries,不结盟国家
non-first use,不首先使用核武器
non-interference in each other's internal affairs,互不干涉内政
Non-violent action,非暴力行为
nonaligned movement (NAM),不结盟运动
nondiscrimination,非歧视原则
nongovernmental organization,非政府组织
nonintervention,不干涉
nonlethal weapon,非致使武器
nonlinearity,非线性
"Nonproliferation Treaty An international agreement, drafted in 1968, not to aid nonnuclear nations in acquiring nuclear weapons; it was not signed by France, China, and other nations actively seeking to build these weapons.",不擴散核武器條約Bù kuòsàn héwǔqì tiáoyuē
"nonstate actors Entity other than nationstates, including multinational corporations, nongovern mental organizations, and international nongovernmental organizations, that plays a role in international politics.",非國家行為者Fēi guójiā xíngwéi zhě
nonstate entity,非国家实体
nontariff barriers (NTBs),非关税壁垒
nontraditional security,非传统安全
nonviolent resistance A passive form of confrontation and protest; also called civil disobedience at times.,非暴力抵抗Fēi bàolì dǐkàng
nonvital interests,非重大利益
nonwhite people,有色人种
nonzero-sum game,非零和游戏
normalization of diplomatic relations,外交关系正常化
normalization of relations,关系正常化
Norman Conquest,诺曼征服
normative approach An approach to the study of politics that is based on examining fundamental and enduring questions.,規範的做法Guīfàn de zuòfǎ
normative theory,规范理论
"North American Free Trade Agreement (NAFTA) Agreement signed in 1994 by the United States, Mexico, and Canada that established a compact to allow free trade or trade with reduced tariffs among the three nations.",北美自由貿易協定（NAFTA）Běiměi zìyóu màoyì xiédìng (NAFTA)
"North Atlantic Treaty Organization (NATO) A military alliance, founded in 1949, originally consisting of the United States, Great Britain, Canada, Germany, France, Italy, Greece, Turkey, Portugal, Norway, Belgium, Denmark, the Netherlands, Iceland, and Luxembourg; previously, its principal aim was to prevent Soviet aggression in Europe. At present, 26 states, including many former Eastern European states that were once members of the Soviet-led Warsaw Pact, belong to NATO.",北大西洋公約組織（北約）Běi dàxīyáng gōngyuē zǔzhī (běi yuē)
Notary Public,公证员
note,照会
nuclear age,核时代
nuclear deterrence,核威慑
nuclear free zone,无核区
nuclear monopoly When only one side in an adversarial relationship possesses a credible nuclear capability; the United States enjoyed a nuclear monopoly for roughly a decade after World War II.,核壟斷Hé lǒngduàn
Nuclear Non-Proliferation Treaty (NPT),核不扩散条约
nuclear technology,核技术
nuclear weapons,核武器
nuclear winter,核冬天
"nullification According to this controversial idea, a state can nullify acts of the U.S. Congress within its own borders; John Calhoun and other states'-rights advocates put forward this doctrine prior to the Civil War.",無效Wúxiào
nuncio,教廷大使
Nuremberg war-crimes trial,纽伦堡战犯审判
obituary,讣告
"OECD, Organization for Economic Cooperation and Development",经济合作与发展组织
offensive realism,进攻性现实主义
Office for Economic Restructuring,经济体制办公厅
Office of Legislative Affairs,法制办公厅
Office of Overseas Chinese Affairs,侨务办公厅
office of the chargé d'affaires,代办处
Offices under that State Council,(2)国务院办事机构
official visit,正式访问
oil embargo,石油禁运
Oligarchy,寡头制
oligarchy A form of authoritarian government in which a small group of powerful individuals wields absolute power.,寡頭政治Guǎtóu zhèngzhì
Ombudsman,监察专员
"on invitation, upon invitation",应邀
on learning with great joy,欣悉
on the happy occasion of,欣逢
"One Country, Two Systems",一国两制
"one-party dominant One-party dominant systems are different from authoritarian one-party systems in that they hold regular elections, allow open criticism of the government, and do not outlaw other parties; until recently, Japan operated as a one-party dominant system, as did Mexico; South Africa is one current example.",一黨獨大Yī dǎng dú dà
One—party States,一党制国家
ontology,本体论
"OPEC, Organization of Petroleum Exporting Countries",石油输出国组织
open fire,开枪，开火
open sea,公海
Opinion polls,民意测验
Opium War,鸦片战争
opportunism,机会主义
ordinary politician Individual who concentrates on getting reelected.,普通政客Pǔtōng zhèngkè
"Organization of Petroleum Exporting Countries (OPEC) A cartel established in 1961 that, since 1973, has successfully manipulated the worldwide supply of and price for oil, with far-reaching consequences for the world economy and political structure.",石油輸出國組織（歐佩克）Shíyóu shūchū guó zǔzhī (ōupèikè)
organizational behavior,组织行为
"OSA, Organization of American States",美洲国家组织
"OSC, Organization for Security and Cooperation",欧洲安全与合作组织(欧安组织)
Ottoman Empire,奥斯曼帝国
outer space,外层空间
"Outer Space Treaty An international agreement, signed by the United States and the former Soviet Union, that banned the introduction of military weapons into outer space, prohibited the extension of national sovereignty in space, and encouraged cooperation and sharing of information about space research.",外層空間條約Wàicéng kōngjiān tiáoyuē
overkill Having a much larger nuclear arsenal than is (or would be) needed to wipe out an adversary completely.,矯枉過正Jiǎowǎngguòzhèng
Overload,超载
Overseas Chinese Affairs Committee,华侨委员会
overthrow,推翻，颠覆
Pacific Rim,环太平洋地区
Pacific War,太平洋战争
pacifism,和平主义
package deal,一揽子交易
pagan,异教徒
Paine,潘恩
palace revolt,宫廷政变
paradigm,范式
"paradox of democratic peace Democratic states are often militarily powerful, fight other states, engage in armed intervention, and sometimes commit acts of aggression, but they do not fight each other.",悖論民主和平Bèi lùn mínzhǔ hépíng
Paris Peace Conference,巴黎和会
"parliamentary sovereignty In the United Kingdom, the unwritten constitutional principle that makes the British parliament the supreme lawmaking body; laws passed by Parliament are not subject to judicial review and cannot be rejected by the Crown.",議會主權Yìhuì zhǔquán
"parliamentary system A system of democratic government in which authority is concentrated in the legislative branch, which selects a prime minister and cabinet officers who serve as long as they have majority support in the parliament.",議會制Yìhuìzhì
participatory A model of democracy that seeks to expand citizen participation in government to the maximum possible degree.,參與Cānyù
"Parties,political:functions of",政党功能
partnership of peace,和平伙伴关系
Party convention,政党代表大会
"party discipline In a parliamentary system, the tendency of legislators to vote consistently as a bloc with fellow party members in support of the party's platform.",黨的紀律Dǎng de jìlǜ
Party identification,政党认同
Party organization,政党组织
Paternalism,家长型控制
patrimonial sea,承袭海
Patronage,委任
Pax Americana,美国治下的和平
Pax atomica,原子治下的和平
Pax Britannica,英国治下的和平
Pax Democratica,民主治下的和平
Pax Romana,罗马治下的和平
peace dividend,和平红利
peace keeping operation,维和行动
Peace of Utrecht,乌得勒支和约
peace-keeping force,维和部队
peaceful coexistence,和平共处
peaceful settlement of disputes,和平解决争端
peer group: A group of people similar in age and characteristics.,對等組Duì děng zǔ
Pentagon,(美)五角大楼(美国国防部办公楼)
people-to-people contacts and exchanges,人民之间的联系和交流
People's Bank of China,中国人民银行
People's Organizations of China,中国人民团体
People's Bank of China,中国人民银行
per-capita gross domestic product (GDP),人均国内生产总值
perestroika Term given to Mikhail Gorbachev's various attempts to restructure the Soviet economy while not completely sacrificing its socialist character.,重組改革Chóngzǔ gǎigé
Persian Gulf War,海湾战争
persona grata,受欢迎的人
persona non-grata,不受欢迎的人
personality system,个人系统
perspectives of security,安全观
philosopher-kings Wise philosopher who governs Plato's ideal city in The Republic.,哲學家 - 國王Zhéxué jiā - guówáng
Physiocracy,重农主义
pilot project,试点项目
platform,政纲
plebiscite,公民投票
plebiscite A vote by an entire community on some specific issue of public policy.,公民投票Gōngmín tóupiào
Plural society,多元社会
pluralism,多元主义
pluralist democracy A model of democracy that stresses vigorous competition among various interests in a free society.,多元民主Duōyuán mínzhǔ
pluralistic security community,多元安全共同体
"plurality vote system A system in which candidates who get the largest number of votes win, whether or not they garner a majority of the votes cast; in a majority vote system, if no candidate gets more than half the votes cast, a runoff election is held to determine the winner.",多數表決制Duōshù biǎojué zhì
polarity theory,极理论
polarization,极化
Police Commissioner,警监
Police Constable,警员
Police Ranks in China,警察警衔
Police state,警察国家
Police Superintendent,警司
Police Supervisor,警督
policy （2）,方针，政策
Policy analysis,政策分析
Policy output studies,政策输出研究
politburo: A small clique that formed the supreme decision-making body in the former Soviet Union. Its members often belonged to the Secretariat and were ministers of key governmental departments.,政治局Zhèngzhì jú
political action committee (PAC) Group organized to raise campaign funds in support of or in opposition to specific candidates.,政治行動委員會（PAC）Zhèngzhì xíngdòng wěiyuánhuì (PAC)
political apathy Lack of interest in political participation.,政治冷漠Zhèngzhì lěngmò
Political Bureau of the Central Committee of the CPC,中央政治局
Political communication,政治沟通
Political corruption,政治腐败
"political culture The moral values, beliefs, and myths people live by and are willing to die for.",政治文化Zhèngzhì wénhuà
"political development A government's ability to exert power effectively, to provide for public order and services, and to withstand eventual changes in leadership.",政治發展Zhèngzhì fāzhǎn
"political efficacy The ability to participate meaning fully in political activities, usually because of one's education, social background, and sense of self-esteem.",政治效能感Zhèngzhì xiàonéng gǎn
political elite,政治精英
political fugitive,政治逃犯
political geography,政治地理
Political influence,政治影响
Political integratio,政治整合/政治一体化
Political obligation,政治义务
political offender,政治犯
Political participation,政治参与
political party: Any group of individuals who agree on some or all aspects of public policy and organize to place their members in control of the national government.,政治黨Zhèngzhì dǎng
Political psychology,政治心理学
political psychophysiology,政治精神心理学
"political realism: The philosophy that power is the key variable in all political relationships and should be used pragmatically and prudently to advance the national interest; policies are judged good or bad on the basis of their effect on national interests, not on their level of morality.",政治現實主義Zhèngzhì xiànshí zhǔyì
political science,政治学
political socialization: The process by which members of a community are taught the basic values of their society and are thus prepared for the duties of citizenship.,政治社會化Zhèngzhì shèhuì huà
Political succession,政治继承
Political system,政治体系/政治系统
Political violence,政治暴力
politicization,政治化
politics of scale,规模政治
polity,政体
poll,投票，民意测验
polyarchy,多头制
poorest developing countries (PDCs): The 20 or so countries with the lowest per capita income in the world; all are located in sub-Saharan Africa with the exceptions of Afghanistan and Nepal.,最貧窮的發展中國家（PDC上）Zuì pínqióng de fāzhǎn zhōng guójiā (PDC shàng)
Popular Science Society,科普学会
positive sovereignty,积极主权
"positivism: A philosophy of science, originated by Auguste Comte, that stresses observable, scientific facts as the sole basis of proof and truth; a skeptical view of ideas or beliefs based on religion or metaphysics.",實證主义Shízhèng
post-classical realist,后古典现实主义
post-modernism,后现代主义
post-positivism,后实证主义
postmodern war,后现代战争
potential power,潜在权力
"power of the purse Under the U.S. Constitution, the provision that gives the Congress the exclusive right to impose taxes and the final word on government spending.",電源的錢包Diànyuán de qiánbāo
power politics,权力政治
power-cycle theory,权力周期理论
power-transition theory,权力转移理论
pragmatism,实用主义
predictability,可预测性
preemption,先发制人
preemptive war,先发制人的战争
Prefect,地方长官
"Premier, State Council",国务院总理
Prerogative,特权
President of the People's Republic of China,中华人民共和国主席
President of the Supreme People's Court,最高人民法院院长
"President, People's Courts",人民法院院长
President/Presidential system,总统，总统制
"President/Vice President, the People's Republic of China",中华人民共和国主席/副主席
"presidential democracy A democratic form of government in which the chief executive is chosen by separate election, serves a fixed term, and has powers carefully separated from those of the other branches of government.",總統民主Zǒngtǒng mínzhǔ
presidium,主席团
Press and Publication Administration,新闻出版署
"press section, in formation service",新闻处
preventive diplomacy,预防性外交
preventive war,预防性战争
Primary party organization,基层党组织
Prime minister/Prime ministerial government,首相（总理）/首相（总理）制政府
"prior restraint The legal doctrine that the government does not have the power to restrain the media from publication, except in cases of dire national emergency.",事先克制Shìxiān kèzhì
prisoner's dilemma,囚徒困境
Privacy,隐私
private visit,私人访问
Procurator-General,最高人民检察院检察长
"Procurator; General, People's procuratorates",人民检察院检察长
profound condolence,深切哀悼
projects to upgrade rural power grids,农村电网改造
"proletarian: In Marxist theory, a member of the working class.",無產階級Wúchǎn jiējí
propaganda: The use of mass media to createwhatever impression is desired among the general population and to influence thoughts and activities toward desired ends.,宣傳Xuānchuán
Property,财产权
proportional representation (PR): Any political structure under which seats in the legislature are allocated to each party based on the percentage of the popular vote each receives.,比例代表制（PR）Bǐlì dàibiǎo zhì (PR)
proposal,提议，提案
prosperity and strength,繁荣富强
protectionism,贸易保护主义
protective democracy: A theory of democracy that places the highest priority on national security.,保護民主Bǎohù mínzhǔ
protectorate,（被）保护国
protocol,公约
Protocol Department,礼宾司
"proxy war: A war in which two adversaries back opposing parties to a conflict by supplying money, weapons, and military advisors, while avoiding direct combat operations against each other.",代理人戰爭Dàilǐ rén zhànzhēng
Prussian empire,普鲁士帝国
Public administration,公共行政
public choice theory,公共选择理论
public domain,公共领域
"public good: The shared beliefs of a political community as to what goals government ought to attain (for example, to achieve the fullest possible measure of security, prosperity, equality, liberty, or justice for all citizens).","公益,公共物品"
Public inquiry,政府调查
"public interest: In political parlance, policies aimed at the general good or society as a whole; in contrast to private interest or special interest, which involve laws or policies favoring individuals or groups.",公共利益Gōnggòng lìyì
public opinion: A view held by citizens that influences the decisions and policies of government officials.,公眾意見Gōngzhòng yìjiàn
purchasing power,购买力
"purges The elimination of all rivals to power through mass arrests, imprisonment, exile, and murder, often directed at former associates and their followers who have (or are imagined to have) enough influence to be a threat to the ruling elite.",清除Qīngchú
Qinghai-Tibet Railway,青藏铁路
"qualified majority voting (QMV) In the European Union a form of voting in the European Council and Council of Ministers in which no member state has a veto but passage of a measure is based on an elaborate formula that involves a triple majority, including more than 70 percent of the votes cast.",特定多數投票（總市值）Tèdìng duōshù tóupiào (zǒng shìzhí)
qualitative analysis,定性分析
Quango,准--非政府组织
quantitative analysis,定量分析
quantitative methods,定量方法
Quasi-judicial,准司法
"Question Time In the United Kingdom, the times set aside Monday through Thursday every week for Her Majesty's Loyal Opposition (the party out of power) to criticize and scrutinize the actions and decisions of the government (the party in power); twice each week, the prime minister must answer hostile questions fired at him or her by the opposition.",答問時間Dá wèn shíjiān
questions of common interest; question of common concern,共同关心的问题
racial discrimination,种族歧视
racial issue,种族问题
Racism,种族主义
Radical parties,激进政党
radicalism,激进主义
Rajya Sabha: The upper house of India's Federal Parliament; the indirectly elected Council of States (see also Lok Sabha).,聯邦院Liánbāng yuàn
random sampling: A polling method that involves canvassing people at random from the population; the opposite of stratified sampling.,隨機抽樣Suíjī chōuyàng
rational actor model,理性行为体模型
rational choice institutionalism,理性选择制度主义
"rational choice: The role of reason over emotion in human behavior. Political behavior, in this view, follows logical and even predictable patterns so long as we understand the key role of self-interest.",理性選擇Lǐxìng xuǎnzé
Rationality,理性
re-employment,再就业
re-employment of laid-off workers,再就业下岗人员
realism,现实主义
Realpolitik,现实政治
Recall,罢免
recall: Direct voting to remove an elected official from office.,記得Jìde
reception,招待会
recession,经济萧条
reciprocal banquet,答谢宴会
reciprocity,互惠
"rectification In Maoist China, the elimination of all purported capitalist traits, such as materialism and individualism.",糾正Jiūzhèng
Red Cross Society of China,中国红十字会总会
Redistribution,重划选区
reduction or cancellation of debts,减轻债务负担
referendum: A vote through which citizens may directly repeal an action taken by the legislature.,公投Gōngtóu
reflectivism,反思主义
Reform of government institutions,政府机构改革
Reform of medical insurance system,医保制度改革
Reform of state- owned enterprises,国有企业改革
Reformation,宗教改革
refugee camp,难民营
regional,区域的
regional awareness,区域意识
regional identity,区域认同
regional integration,区域一体化
regional security complex,区域安全复合体
regional subsystem,地区子系统
regionalism,区域主义
regionalization,区域化
Registration of electors,选民登记
"rehabilitation: Education, training, and social conditioning aimed at encouraging imprisoned criminals to become normal, productive members of society when they are released.",康復Kāngfù
"Reign of Terror: During the French Revolution, the mass executions, ordered by Robespierre and his Committee of Public Safety, of those deemed to be public enemies, namely all who opposed the revolution or dared to dissent.",恐怖統治Kǒngbù tǒngzhì
relative gain,相对收益
Renaissance,文艺复兴
reparation,战败国赔偿
Representation,代表制
Representative government,代议制政府
"republic A form of government in which sovereignty resides in the people of that country, rather than with the rulers. The vast majority ofrepublics today are democratic or representative republics, meaning that the sovereign power is exercised by elected representatives who are responsible to the citizenry.",共和國Gònghéguó
Research Office of the State Council,国务院研究室
resource theory,资源理论
Responsible government,责任政府
retribution The punishment of criminals on the ground that they have done wrong and deserve to suffer.,報應Bàoyìng
"reverse discrimination When affirmative action aimed at giving historically disadvantaged groups greater access to jobs, housing, and educational opportunities becomes an obstacle to members of the majority; an unintended consequence of giving preferences to minorities and victims of gender discrimination.",逆向歧視Nìxiàng qíshì
revisionism,修正主义
Revolution and counter-revolution,革命和反革命
Revolutionary War The American War of Independence (1775-1783); see American Revolution.,革命戰爭Gémìng zhànzhēng
right of residence,居留权
"right to revolution John Locke's theory that when governmental actions undermine the essential rights of life, liberty, and property, citizens have a right to revolt and replace the government with one that will rule correctly.",權利革命Quánlì gémìng
rioting and looting,暴动和抢劫
rogue state,无赖国家
Roman Catholic Church,罗马教会
Roman Empire,罗马帝国
Romanov dynasty,罗曼诺夫王朝
romanticism,浪漫主义
Rotten borough,腐败选区
roving ambassador,巡回大使
royalist One who favors absolutism or rule by an all-powerful monarch.,保皇黨Bǎohuáng dǎng
rudimentary code of international relations,国际关系中最起码的准则
Ruhr crisis,鲁尔危机
rule of law The concept that the power and discretion of government and its officials ought to be restrained by a supreme set of neutral rules that prevent arbitrary and unfair action by government; also called constitutionalism.,法治Fǎzhì
Ruling class,统治阶级
Russo-Japanese War,日俄战争
sacred and inviolable,神圣不可侵犯
safety valve,安全阀
salami tactics The methods used by Vladimir Lenin to divide his opponents into small groups that could be turned against one another and easily overwhelmed.,香腸戰術Xiāngcháng zhànshù
Samuel P. Huntington,塞缪尔•亨廷顿
samurai,日本武士
satellite state,卫星国
Satyagraha,非暴力不合作主义
Schlieffen Plan,施里芬计划
Schumpeter,熊彼特
scientific behaviouralism,科学行为主义
scientism,科学主义
scope of international relations,国际关系的范围
sea power,海权
Seabed Treaty: An international agreement that forbids the establishment of nuclear weapons on the ocean floor beyond the 12-mile territorial limit.,海底條約Hǎidǐ tiáoyuē
Second chambers,第二院，上议院
second secretary,二等秘书
second strike: Retaliation in kind against a nuclear attack(er); this capability paradoxically minimizes the likelihood that a nuclear confrontation will lead to an actual nuclear exchange.,第二次罷工Dì èr cì bàgōng
second-strike capacity,第二次打击能力
Secret police,秘密警察
Secretariat,秘书处
Secretary General,秘书长
Secretary of CPC County Committee,县委书记
Secretary-General,秘书长
"secretary, Party Leadership Group",党组书记
"Secretary,...Provincial/Municipal Committee of the CPC",省委/市委书记
Section Chief,科长/股长
security community,安全共同体
Security Council,安全理事会
security dilemma,安全困境
security interest,安全利益
security regime,安全体制
security relationship,安全关系
security strategy,安全战略
security study,安全研究
Seismological Society,地震学会
Select committee,调查委员会
"selective service The Selective Service System was the official name of the military draft in the United States prior to 1972, when an all volunteer army replaced it.",選擇性服務Xuǎnzé xìng fúwù
Self-determination,自决
Self-government,自治
self-help system,自助体系
Semi-presidential systems,半总统制
Seniority,资历制
"separation of powers The organization of government into distinct areas of legislative, executive, and judicial functions, each responsible to different constituencies and possessing its own powers and responsibilities; the system of dividing the governmental powers among three branches and giving each branch a unique role to play while making all three interdependent.","分权,三權分立Sān quán fēnlì"
separatism,分离主义
Serbia,塞尔维亚
Serfdom,农奴制
sever diplomatic relations,断绝外交关系
Shadow cabinet,影子内阁
shared ideas,共同观念
shatterbelt,破碎地带
signatory state of the treaty (convention),缔约国
simple majority The largest bloc of voters in an election.,簡單多數Jiǎndān duōshù
Slavery,奴隶制
Slavic-Orthodox civilization,斯拉夫-东正教文明
"Smith,Adam",斯密，亚当
"SNA, sub-national authority",次国家权威
social constructivism,社会建构主义
Social contract,社会契约论
Social democracy,社会民主主义
Socialism,社会主义
socialism An ideology favoring collective and govern ment ownership over individual or private ownership.,社會主義Shèhuì zhǔyì
socialist democratic politics with Chinese characteristics,有中国特色的社会主义民主政治
Socrates,苏格拉底
"soft money Campaign contributions to U.S. national party committees that do not have to be reported to the Federal Election Commission as long as the funds are not used to benefit a particular candidate; the national committees funnel the funds to state parties, which generally operate under less stringent reporting requirements. Critics argue that soft money is a massive loop hole in the existing system of campaign finance regulation and that it amounts to a form of legalized corruption.",軟錢Ruǎn qián
soft power,软权力
sole legal government,唯一合法政府
"solicitor In Great Britain, an attorney who can prepare court cases and draw up contracts and other legal documents but cannot plead cases or become a judge.",律師Lǜshī
"Solon Lawmaker who successfully reconciles the functions of delegate and trustee; Solon was the great law-giver of ancient Athens, birthplace of western civilization's first democracy.",梭倫Suō lún
Song Ching Ling Foundation,宋庆龄基金会
sovereign actor,主权行为体
sovereign equality,主权平等
sovereign state,主权国家
"sovereign wealth fund A state owned investment fund made up of financial assets such as stocks, bonds, precious metals, and property; such funds invest globally. China, for example, has invested huge sums in the United States via its sovereign wealth fund.",主權財富基金Zhǔquán cáifù jījīn
sovereignty A government's capacity to assert supreme power successfully in a political state.,主權Zhǔquán
sovereignty costs,主权成本
sovereignty doctrine,主权原则
Speaker,议长
special envoy,特使
"special interest An organization or association that exists to further private interests in the political arena; examples in the United States are the U.S. Chamber of Commerce or the National Association of Manufacturers (business), the AFL-CIO (labor), and the National Farmers Organization (NFO).",特殊利益Tèshū lìyì
speech of welcome,欢迎词
spheres of security,安全范围
spill-over,外溢
Spinoza,斯宾诺莎
Spoils system,政党分赃制
spokesman,发言人
stagflation,滞胀
Stalin,斯大林
Standing Committee,常务委员会
Standing Committee Member of CPC County Committee,县委常委
"State Administration for Entry, Exit Inspection and Quarantine(under the General Administration of Customs)",国家出入境检验检疫局(海关总署)
State Administration of Foreign Exchange (under the People's Bank of China),国家外汇管理局(中国人民银行总行)
State Administration of Industry and Commerce,国家工商行政管理局
"State Administration of Radio, Film and Television",国家广播电影电视总局
State Administration of Traditional Chinese Medicine(under the Ministry of Public Health),国家中医药管理局(卫生部)
State Auditing Administration,国家审计署
state banquet,国宴
state building The creation of political institutions capable of exercising authority and allocating resources effectively within a nation.,國家建設Guójiā jiànshè
State Bureau of Building Materials Industry,国家建筑材料工业局
State Bureau of Coal Industry,国家煤炭工业局
State Bureau of Foreign Experts Affairs (under the Ministry of Personnel),国家外国专家局(人事部)
State Bureau of Grain Reserve (Under the State Development Planning Commission),国家粮食储备局(国家发展计划委员会)
State Bureau of Internal Trade,国家国内贸易局
State Bureau of Light Industry,国家轻工业局
State Bureau of Machine Building Industry,国家机械工业局
State Bureau of Metallurgical Industry,国家冶金工业局
State Bureau of Nonferrous Metal Industry,国家有色金属工业局
State Bureau of Oceanic Administration( under the Ministry of Land and Resources),国家海洋局(国土资源部)
State Bureau of Petroleum and Chemical Industry,国家石油和化学工业局
State Bureau of Quality and Technical Supervision,国家质量技术监督局
State Bureau of Religious Affairs,国家宗教事务局
State Bureau of Surveying and Mapping(ditto),国家测绘局(国土资源部)
State Bureau of Textile Industry,国家纺织工业局
State Bureaus Administration by Ministration or Commission),(5)部委管理的国家局
State Copyright Bureau,国家版权局
State Council,国务院
State Councilor,国务委员
State Cultural Relics Bureau(under the Ministry of Culture),国家文物局(文化部)
State Development Planning Commission,国家发展计划委员会
State Drug Administration(SDA),国家药品监督管理局
State Economic and Trade Commission,国家经济贸易委员会
State Environmental Protection Administration,国家环境保护总局
State Ethnic Affairs Commission,国家民族事务委员会
State Family Planning Commission,国家计划生育委员会
State Forestry Bureau,国家林业局
State Intellectual Property Office(SIPO),国家知识产权局
state level,国家层次
state morality,国家道德
state of nature The condition of human beings before the creation of a social code of behavior and collective techniques to control normal human impulses.,自然狀態Zìrán zhuàngtài
State Physical Cultural Administration,国家体育总局
State Post Bureau(under the Ministry of Information Industry),国家邮政局(信息产业部)
state sovereignty,国家主权
State Statistics Bureau,国家统计局
State Taxation Administration,国家税务总局
state terrorism Usually violent methods used by a government's own security forces to intimidate and coerce its own people.,國家恐怖主義Guójiā kǒngbù zhǔyì
State Tobacco Monopoly Bureau,国家烟草专卖局
state visit,国事访问
state-centric system,国家中心体系
state-centrism,国家中心主义
state-owned enterprises (SOE),国有企业
state-sponsored terrorism,国家支持的恐怖主义
"statecraft ""The use of the assets or the resources and tools (economic, military, intelligence, media) that a state has to pursue its interest and to affect the behavior of others, whether friendly or hostile,"" according to foreign policy expert and former diplomat Dennis Ross.","治国术,經世致用Jīngshì zhì yòng"
"stateless nation People (or nations) who are scattered over the territory of several states or dispersed widely and who have no autonomous, independent, or sovereign governing body of their own; examples of stateless nations include the Kurds, Palestinians, and Tibetans",無狀態的國家Wú zhuàngtài de guójiā
statement,声明
stateness,国家特性
"statesman: A politician in a position of authority who possesses exceptional political skills, practical wisdom, and concern for the public good and whose leadership has a significant positive effect on society.",政治家Zhèngzhì jiā
statism,国家主义
status quo,现状
status quo of the boundary,边界现状
"status quo strategy: A national policy of maintaining the existing balance of power through collective security agreements, diplomacy, and negotiation, as well as through ""legitimizing instruments,"" such as international law and international organizations.",現狀戰略Xiànzhuàng zhànlüè
status-quo state,维持现状国家
Statute Law,制定法
stock market clash,股票市场崩溃
Stockholm International Peace Research Institute,斯德哥尔摩国际和平研究所
Strait of Malacca,马六甲海峡
Strategic Arms Reduction Treaty II (START II): A treaty negotiated between the United States and the former Soviet Union that limited strategic nuclear weapons.,削減戰略武器條約 II（START II）Xuējiǎn zhànlüè wǔqì tiáoyuē II(START II)
strategic interests,战略利益
strategic weapon,战略武器
"stratified sampling: A manner of polling in which participants are chosen on the basis of age, income, socioeconomic background, and the like, so that the sample mirrors the larger population; the opposite of random sampling.",分層抽樣Fēn céng chōuyàng
"straw poll: Unscientific survey; simple, inexpensive poll open to all sorts of manipulation and misuse.",非正式投票Fēi zhèngshì tóupiào
structural realism,结构现实主义
structuralist paradigm,结构主义范式
sub-national unit,次国家单位
submarine-launched ballistic missile (SLBM) Strategic missiles with multiple nuclear warheads launched from submarines that prowl the ocean depths and that cannot be easily detected or destroyed by a preemptive attack.,潛射彈道導彈（SLBM）Qián shè dàndào dǎodàn (SLBM)
subsistence allowances for laid-off workers,下岗职工基本生活费
subsystem,子系统
"subversion The attempt to undermine a government, often using outside assistance.",顛覆Diānfù
Suez crisis,苏伊士运河危机
summit conference,首脑会晤
summit diplomacy,首脑外交
summit meeting,峰会
Sunnism,逊尼派
Superintendent,警司
"superpower A superpower must, above all, have a full range of power capabilities, including not only military muscle but also economic, political, diplomatic, and even moral clout. Second, it must have global reach, the capacity to project power to all parts of the world. Third, it must be willing to assert its leadership role in the international arena. During the Cold War, the United States and the Soviet Union both qualified as superpowers by these criteria.",超級大國Chāojí dàguó
Supervisor,警督
supply-side economics,供应学派经济学
supranational governance,超国家治理
Supranational government,超国家政府
supranationalism,超国家主义
"Supremacy Clause Article VI, Section 2, of the Constitution, which declares that acts of Congress are ""the Supreme law of the Land . . . binding on the Judges in every State.""",第疑雲Dì yíyún
"Supreme Court The U.S. federal court of last resort, settling cases that raise particularly troublesome questions of legal interpretation or constitutional principle.",最高法院Zuìgāo fǎyuàn
Supreme People's Court,最高人民法院
Supreme People's Procuratorate,最高人民检察院
surplus,盈余
surplus rural workers,农村剩余劳动力
surplus value,剩余价值
survival of the fittest,适者生存
survivor,生还者
sustainable development,可持续发展
"sustainable growth A concept popular among environmentalists and liberal economists that emphasizes the need for economic strategies that take account of the high-cost and long term impact on the environment (including global warming) of economic policies aimed at profit-maximization, current consumption, and the like.",可持續增長Kě chíxù zēngzhǎng
"suzerain state, metropolitan state",宗主国
suzerainty,宗主权
system analysis,系统分析
system level,系统层次
system of states,国家体系
systems at the international level,国际层次的系统
tactical weapon,战术武器
Taiwan Affairs Office,台湾事务办公厅
Taiwan Affairs Office of the State Council,国务院台湾事务办公室
take note of...,注意到
tariffs reduction,关税减让
Tariffs Union,关税同盟
tea party,茶会
telecommunications revolution,电讯革命
televised meeting,电视会议
"terms of trade In international economics, the valuation (or price) of the products (commodities, manufactures, services) that countries buy on the world market relative to the valuation of the products they sell; the structure of prices for different kinds of goods and services in international trade—for example, if manufactures are generally high-priced relative to minerals and agricultural products, then the terms of trade are unfavorable for countries that produce only farm commodities or raw materials.",貿易條件Màoyì tiáojiàn
territorial air,领空
territorial contiguity,领土毗连
territorial integrity,领土完整
territorial jurisdiction,领土管辖权
territorial sea,领海
