sentence	en	da	no	sv	is
511	I want to contact our embassy	Jeg ønsker at kontakte vores ambassade	Jeg ønsker å kontakte vår ambassade	Jag vill komma i kontakt med vår ambassad	Ég vil hafa samband við sendiráðið okkar
512	Who do you work for?	Hvem arbejder De for?	Hvem jobber du for?	Vem arbetar ni för?	fyrir hvern vinnur þú?
513	I think it tastes good	Jeg synes, det smager godt	Jeg synes det smaker godt	Jag tycker att den smakar bra	Mér finnst það bragðast vel
514	I studied politics	Jeg har studeret statskundskab	Jeg har studert statsvitenskap	Jag studerade politik	Ég hef lært stjórnmálafræði
515	I'm here on business	Jeg er her på forretningsrejse	Jeg er her på forretningsreise	Jag är här för affärer	Ég er hér í viðskiptum
516	I'll pay for dinner	Jeg betaler for middagen	Jeg betaler for middagen	Jag tar notan	Ég skal borga fyrir matinn
517	He resigned	Han trak sig	Han trakk seg tilbake	Han avgick	Hann dró sig í hlé
518	The sun is shining	Solen skinner	Sola skinner	Solen skiner	Sólin skín
519	I am guilty	Jeg er skyldig	Jeg er skyldig	Jag är skyldig	Ég er sekur
520	Last year	Sidste år	I fjor	Förra året	Síðasta ár
521	I work in a restaurant	Jeg arbejder på en restaurant	Jeg jobber på en restaurant	Jag arbetar på restaurang	Ég vinn á veitingastað
522	What is the risk?	Hvad er risikoen?	Hva er risikoen?	Vad är det för risk?	Hver er áhættan?
523	What does your mother do?	Hvad laver Deres mor til daglig?	Hva gjør moren din til daglig?	Vad arbetar er mor med?	Hvað gerir mamma þín daglega?
524	You were right	De havde ret	De hadde rett	Ni hade rätt	Þeir höfðu rétt fyrir sér
525	In ten days	Om ti dage	Om ti dager	Om tio dagar	Eftir tíu daga
526	This is my girlfriend	Det her er min kæreste	Dette er min kjæreste	Det här är min flickvän	Þetta er kærastan mín
527	What is in the bag?	Hvad er der i tasken?	Hva er i baggen?	Vad innehåller väskan?	Hvað er í töskunni?
528	Do you have any coins?	Har De nogen mønter?	Har du noen mynter?	Har ni några mynt?	Áttu einhverja mynt?
529	You are wrong	De tager fejl	De tar feil	Ni har fel	Þeir hafa rangt fyrir sér
530	I'm at work	Jeg er på arbejde	jeg er på jobb	Jag är på jobbet	ég er í vinnunni
531	How was the movie?	Hvordan var filmen?	Hvordan var filmen?	Hur var filmen?	Hvernig var myndin?
532	I need some tissues	Jeg har brug for et lommetørklæde	Jeg trenger et lommetørkle	Jag behöver några näsdukar	Mig vantar vasaklút
533	I am very motivated	Jeg er meget motiveret	Jeg er veldig motivert	Jag är oerhört motiverad	Ég er mjög áhugasamur
534	How far is it?	Hvor langt er det?	Hvor lang er den?	Hur långt är det?	Hversu langt er það?
535	Thank you	Tak	Takk	Tack	Takk
536	I do not have a guilty conscience	Jeg har ikke dårlig samvittighed	Jeg har ikke dårlig samvittighet	Jag har inget dåligt samvete	Ég er ekki með slæma samvisku
537	From what date?	Fra hvilken dato?	Fra hvilken dato?	Från vilket datum?	Frá hvaða degi?
538	I want to buy something	Jeg ønsker at købe noget	Jeg vil kjøpe noe	Jag vill köpa något	Mig langar að kaupa eitthvað
539	Please follow me	Vær venlig at følge med mig	Følg meg	Var vänlig följ mig	Vinsamlegast eltu mig
540	The hall is empty	Receptionen er tom	Resepsjonen er tom	Salen är tom	Móttakan er tóm
541	Do you understand me?	Forstår De mig?	Forstår du meg?	Förstår ni mig?	Skilur þú mig?
542	May I?	Må jeg have lov?	Kan jeg få lov?	Får jag lov?	Má ég fá leyfi?
543	What day is it today?	Hvad dag er det i dag?	Hvilken dag er det i dag?	Vilken dag är det idag?	Hvaða dagur er í dag?
544	That's interesting	Det er interessant	Det er interessant	Det var intressant	Það er áhugavert
545	Do you want to watch a film?	Har De lyst til at se en film?	Vil du se en film?	Skulle ni vilja se en film?	Langar þig að sjá kvikmynd?
546	You are very kind	De er meget venlig	De er veldig vennlige	Ni är så snäll	Þeir eru mjög vinalegir
547	I need a shopping-list	Jeg har brug for en indkøbsliste	Jeg trenger en handleliste	Jag behöver en inköpslista	Mig vantar innkaupalista
548	This is my daughter	Det her er min datter	Dette er min datter	Det här är min dotter	Þetta er dóttir mín
549	What is that?	Hvad er det?	Hva er det?	Vad är det där?	Hvað er það?
550	I'm tidying-up my room	Jeg er ved at rydde op på mit værelse	Jeg rydder opp rommet mitt	Jag städar mitt rum	Ég er að þrífa herbergið mitt
551	0	nul	null	noll	núll
552	1	en	en	ett	einn
553	2	to	to	två	tveir
554	3	tre	tre	tre	þrír
555	4	fire	fire	fyra	fjórir
556	5	fem	fem	fem	fimm
557	6	seks	seks	sex	sex
558	7	syv	sju	sju	sjö
559	8	åtte	åtte	åtta	átta
560	9	ni	ni	nio	níu
561	10	ti	ti	tio	tíu
562	11	elleve	elleve	elva	ellefu
563	12	tolv	tolv	tolv	tólf
564	13	tretten	tretten	tretton	þrettán
565	14	fjorten	fjorten	fjorton	fjórtán
566	15	femten	femten	femton	fimmtán
567	16	seksten	seksten	sexton	sextán
568	17	sytten	sytten	sjutton	sautján
569	18	atten	atten	araton	átján
570	19	nitten	nitten	nitton	nítján
571	20	tjue	tjue	tjugo	tuttugu
572	25	tjuefem	tjuefem	tjugofem	tuttugu og fimm
573	30	tretti	tretti	trettio	þrjátíu
574	40	førti	førti	fyrtio	fjörutíu
575	50	femti	femti	femtio	fimmtíu
576	60	sesti	seksti	sextio	sextíu
577	70	sytti	sytti	sjuttio	sjötíu
578	80	åtti	åtti	åttio	áttatíu
579	90	nitti	nitti	nittio	níutíu
580	100	hundre	hundre	hundra	hundrað
581	200	to hundre	to hundre	två hundra	tvö hundruð
582	300	tre hundre	tre hundre	tre hundra	þrjú hundruð
583	400	fire hundre	fire hundre	fyra hundra	fjögur hundruð
584	500	fem hundre	fem hundre	fem hundra	fimm hundruð
585	600	seks hundre	seks hundre	sex hundra	sex hundruð
586	700	sju hundre	sju hundre	sju hundra	sjö hundruð
587	800	åtte hundre	åtte hundre	åtta hundra	átta hundruð
588	900	ni hundre	ni hundre	nio hundra	níu hundruð
589	1000	tusen	tusen	tusen	þúsund
590	10000	ti tusen	ti tusen	tio tusen	tíu þúsund
591	100000	hundre tusen	hundre tusen	hundra tusen	hundrað þúsund
592	1000000	en million	en million	en miljon	ein milljón
